nome_cientifico,nome_comum,url_agrofit
(Paspalum virgatum,"['Capim-navalha', 'Capimcapivara']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=2861
Acacia farnesiana,"['aromita', 'espinheiro', 'esponjinha']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1048
Acacia paniculata,"['barbadinho', 'serra-goela', 'sessenta-feridas']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1049
Acacia plumosa,"['acacia-de-espinho', 'arranha-gato', 'unha-de-gato']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1050
Acanthospermum australe,"['carrapichinho', 'carrapicho-rasteiro', 'maroto']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1051
Acanthospermum hispidum,"['carrapicho-de-carneiro', 'chifre-de-veado', 'espinho-de-carneiro']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1052
Achyrocline satureioides,"['chá-de-lagoa', 'macela', 'macela-amarela']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1053
Adenocalymma flaviflorum,[],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=3121
Aeschynomene denticulata,"['angiquinho', 'corticeirinha', 'maricazinho']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1055
Aeschynomene indica,[],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=2661
Aeschynomene rudis,"['angiquinho', 'maricazinho', 'paquinha']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1056
Aeschynomene selloi,"['carrapicho', 'pariçá', 'rolha-de-garrafa']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1057
Aeschynomene sensitiva,"['angiquinho', 'corticeirinha', 'maricazinho']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1058
Ageratum conyzoides,"['catinga-de-bode', 'erva-de-são-joão', 'mentrasto']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1059
Agropyrum repens,"['grama-de-ponta', 'trigo-grama']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1060
Alternanthera brasiliana,"['ervanço', 'nateira', 'perpétua']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1061
Alternanthera ficoidea,[],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=2621
Alternanthera paronychioides,"['alecrim', 'apaga-fogo', 'mangericão']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1062
Alternanthera philoxeroides,"['bredo-d´água', 'erva-de-jacaré', 'perpétua']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1063
Alternanthera tenella,"['apaga-fogo', 'corrente', 'periquito']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1064
Amaranthus deflexus,"['bredo', 'bredo-rasteiro', 'caruru']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1065
Amaranthus hybridus,"['bredo', 'caruru-branco', 'caruru-roxo']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1066
Amaranthus lividus,"['bredo', 'caruru', 'caruru-de-folha-de-cuia']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1067
Amaranthus palmeri,[],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=2641
Amaranthus retroflexus,"['bredo', 'caruru', 'caruru-gigante']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1068
Amaranthus sp.,[],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=3102
Amaranthus spinosus,"['bredo-branco', 'bredo-de-espinho', 'caruru-de-espinho']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1069
Amaranthus viridis,"['bredo', 'caruru', 'caruru-de-mancha']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1070
Ambrosia artemisifolia,[],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=2941
Ambrosia elatior,"['ambrosia-americana', 'carprineira', 'cravorana']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1071
Anagallis arvensis,"['anagalis', 'bacuru-de-cores', 'escarlate']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1072
Andropogon bicornis,"['capim-de-bezerra', 'capim-peba', 'capim-rabo-de-burro']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1073
Andropogon leucostachyus,"['capim-colchão', 'capim-membeca', 'capim-rabo-de-raposa']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1074
Anoda cristata,['malva-de-crista'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1075
Antirrhinum orontium,['boca-de-leão-selvagem'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1076
Apium leptophyllum,"['aipo-bravo', 'gertrudes', 'mastruço']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1077
Arachis hypogea,['Amendoim'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=2381
Arctium minus,"['bardana', 'carrapicho', 'carrapicho-de-carneiro']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1078
Argemone mexicana,"['cardo-santo', 'figo-do-inferno', 'papoula-de-espinho']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1079
Aristida longiseta,"['barba-de-bode', 'capim-barba-de-bode']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1080
Artemisia verlotorum,"['absinto', 'artemija', 'losna']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1081
Asclepias curassavica,"['erva-de-rato', 'erva-leiteira', 'falsa-erva-de-rato']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1082
Avena fatua,"['aveia-brava', 'aveia-fátua', 'aveia-selvagem']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1083
Avena sativa,['aveia'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1084
Avena strigosa,"['aveia-brasileira', 'aveia-preta', 'aveia-voluntária']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1085
Axonopus compressus,"['capitinga', 'grama-argentina', 'grama-missioneira']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1086
Baccharis coridifolia,"['alecrim', 'alecrim-falso', 'mio-mio']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1087
Baccharis dracunculifolia,"['alecrim-de-vassoura', 'vassoura', 'vassoureira']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1088
Baccharis trimera,"['carqueja', 'carqueja-amarga', 'tiririca-de-bebado']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1089
Banisteriopsis oxyclada,"['cipó-folha-de-prata', 'cipó-prata']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1020
Barnadesia rosea,['espinho-agulha'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1021
Bauhinia corifolia,['Miroró'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=2482
Bauhinia curvula,['Unha-de-cabrito'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1981
Bauhinia Divaricata,['Unha-de-boi'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1821
Bauhinia glabra,[],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=3062
Bauhinia mollis,['Capa-bode'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=2001
Bauhinia ungulata,['Pata-de-vaca'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1961
