classificacao,nome_cientifico,nome_comum,cultura
Insetos,Acanthoscelides obtectus,"['Caruncho-do-feijão', 'Gorgulho-do-feijão']","[{'nome': 'Amendoim', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7878'}, {'nome': 'Todas as culturas', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6273'}, {'nome': 'Feijão', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2934'}, {'nome': 'Grão-de-bico', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3368'}]"
Doença,Aceria eriobotryae,['-'],"[{'nome': 'Nêspera', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=8720'}]"
Insetos,Aceria guerreronis,"['Ácaro do coqueiro', 'Ácaro-da-necrose-do-coqueiro', 'Ácaro-do-coqueiro']","[{'nome': 'Macadâmia', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6122'}, {'nome': 'Pinhão manso', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6130'}, {'nome': 'Pupunha', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6132'}, {'nome': 'Coco', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3126'}, {'nome': 'Castanha-do-pará', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6111'}, {'nome': 'Açaí', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6103'}, {'nome': 'Pinhão', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6379'}, {'nome': 'Dendê', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6115'}]"
Insetos,Aceria litchii,['acaro-da-lichia'],"[{'nome': 'Lichia', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6998'}]"
Insetos,Aceria reyesi,['Ácaro'],"[{'nome': 'Cacau', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=8077'}]"
Doença,Acidovorax avenae subsp. avenae,"['Estria-Vermelha', 'Estria vermelho']","[{'nome': 'Cana-de-açúcar', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6817'}, {'nome': 'Todas as culturas', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=8040'}]"
Doença,Acidovorax avenae subsp. citrulli,"['Mancha-aquosa da melancia', 'Mancha-aquosa', 'Mancha-Aquosa']","[{'nome': 'Melancia', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=5780'}, {'nome': 'Melão', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=5061'}, {'nome': 'Cana-de-açúcar', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=8132'}]"
Doença,Acremonium strictum,"['-', 'Murcha']","[{'nome': 'Milheto', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=8721'}, {'nome': 'Sorgo', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=8723'}, {'nome': 'Milho', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4402'}]"
Insetos,Acrogonia citrina,['cigarrinha-da-CVC'],"[{'nome': 'Citros', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4969'}]"
Insetos,Acrogonia gracilis,['Cigarrinha dos citros'],"[{'nome': 'Citros', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=5207'}]"
Insetos,Acrogonia terminalis,['Cigarrinha'],"[{'nome': 'Citros', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3086'}]"
Insetos,Acromyrmex ambiguus,['Quenquém-preta-brilhante'],"[{'nome': '', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4796'}]"
Insetos,Acromyrmex aspersus,['Quenquém-rajada'],"[{'nome': '', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4797'}]"
