numero_registro,marca_comercial,titular_registro,classe_categoria_agronomica,ingrediente_ativo,classificacao_toxicologica,classificacao_ambiental,formulacao,ingrediente_ativo_detalhado,documento_cadastrado,produto_formulado_vinculado,url_agrofit
TC18523,['Dicamba Técnico FB III'],Agroallianz S.A,['Herbicida'],['Dicamba (Ácido Benzóico) (980 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '980', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '98'}]","[{'descricao': 'RT - Rev01 Dicamba TC FB III - Alt end - set24', 'tipo_documento': 'Rótulo', 'data_inclusao': '27/09/2024 21:43:48', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=494798&p_nm_file=F420250425/RT%20-%20Rev01%20Dicamba%20TC%20FB%20III%20-%20Alt%20end%20-%20set24.pdf', 'origem': 'Rótulo e Certificado'}]",[],http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=19056
37118,['Dicamba Técnico GHA'],AllierBrasil Agro Ltda.,['Herbicida'],['Dicamba (Ácido Benzóico) (980 g/kg)'],I - Produto Extremamente Tóxico,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '980', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '98'}]","[{'descricao': 'ROTULO', 'tipo_documento': 'Rótulo', 'data_inclusao': '08/01/2019 08:13:29', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=225550&p_nm_file=F825419711/2019.01.08%20AGRFT%20DICAMBA%20T%C3%89CNICO%20GHA%20ROT_.pdf', 'origem': 'Rótulo e Certificado'}]","[{'marca_comercial': ['Dicamba Nortox'], 'numero_registro': '46325', 'titular_registro': 'Nortox S.A.'}]",http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=13016
TC06720,['Dicamba Técnico Gharda'],Gharda do Brasil Soluções Agrícolas Ltda.,['Herbicida'],['Dicamba (Ácido Benzóico) (970 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '970', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '97'}]","[{'descricao': 'Rótulo_Dicamba Técnico Gharda_03.03.22', 'tipo_documento': 'Rótulo', 'data_inclusao': '23/06/2022 16:37:58', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=429069&p_nm_file=F2048280203/R%C3%B3tulo_Dicamba%20T%C3%A9cnico%20Gharda_03.03.22.pdf', 'origem': 'Rótulo e Certificado'}]","[{'marca_comercial': ['Collision 480 SL'], 'numero_registro': '49117/18R', 'titular_registro': 'AllierBrasil Agro Ltda.'}, {'marca_comercial': ['Dicavel', 'Ditma', 'Dasaje'], 'numero_registro': '23923', 'titular_registro': 'Globachem Proteção de Cultivos do Brasil Ltda.'}]",http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=12822
TC09421,['Dicamba Técnico Gilmore'],Gilmore Agro do Brasil Ltda - ME,['Herbicida'],['Dicamba (Ácido Benzóico) (980 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '980', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '98'}]","[{'descricao': 'ROTULO DICAMBA TC GILMORE', 'tipo_documento': 'Rótulo', 'data_inclusao': '20/11/2025 17:31:50', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=538275&p_nm_file=F812018302/DICAMBA%20T%C3%89CNICO%20GILMORE_Rotulagem_Agrofit_v3.pdf', 'origem': 'Rótulo e Certificado'}]",[],http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=14389
TC14520,['Dicamba Técnico HY-GREEN'],Changqing do Brasil Produtos Agrícolas Ltda,['Herbicida'],['Dicamba (Ácido Benzóico) (965 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '965', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '96,5'}]","[{'descricao': 'Rótulo_Dicamba Técnico HY-GREEN_Changqing do Brasil_20.07.2023', 'tipo_documento': 'Rótulo', 'data_inclusao': '26/07/2023 12:47:36', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=460099&p_nm_file=F1508521795/R%C3%B3tulo_Dicamba%20T%C3%A9cnico%20HY-GREEN_Changqing%20do%20Brasil_20.07.2023.pdf', 'origem': 'Rótulo e Certificado'}]","[{'marca_comercial': ['Rainvel Xtra'], 'numero_registro': '10320', 'titular_registro': 'Rainbow Defensivos Agrícolas Ltda.'}, {'marca_comercial': ['Rainvel'], 'numero_registro': '06022', 'titular_registro': 'Rainbow Defensivos Agrícolas Ltda.'}, {'marca_comercial': ['Dicare'], 'numero_registro': '26521', 'titular_registro': 'Rainbow Defensivos Agrícolas Ltda.'}, {'marca_comercial': ['Tranvel'], 'numero_registro': '26021', 'titular_registro': 'Rainbow Defensivos Agrícolas Ltda.'}]",http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=15990
TC22825,['Dicamba Técnico Hemani'],Hemani Agro do Brasil Ltda,['Herbicida'],['Dicamba (Ácido Benzóico) (980 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '980', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '98'}]",[],[],http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=14699
TC09721,['Dicamba Técnico Loveland'],Nutrien Soluções Agrícolas Ltda.,['Herbicida'],['Dicamba (Ácido Benzóico) (980 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '980', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '98'}]","[{'descricao': 'Rótulo Dicamba Técnico Loveland_V.02_10.12.2024', 'tipo_documento': 'Rótulo', 'data_inclusao': '12/12/2024 15:16:37', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=509694&p_nm_file=F1814160339/R%C3%B3tulo%20Dicamba%20T%C3%A9cnico%20Loveland_V.02_10.12.2024.pdf', 'origem': 'Rótulo e Certificado'}]",[],http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=12327
TC07020,['Dicamba Técnico Monsanto I'],Monsanto do Brasil Ltda,['Herbicida'],['Dicamba (Ácido Benzóico) (970 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '970', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '97'}]","[{'descricao': 'DICTECCOMP 2112-00', 'tipo_documento': 'Rótulo', 'data_inclusao': '14/12/2021 10:07:01', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=414499&p_nm_file=F741582837/DICTECCOMP%202112-00.pdf', 'origem': 'Rótulo e Certificado'}]","[{'marca_comercial': ['Xtendicam'], 'numero_registro': '17816', 'titular_registro': 'Monsanto do Brasil Ltda'}, {'marca_comercial': ['Roundup Xtend'], 'numero_registro': '33125', 'titular_registro': 'Monsanto do Brasil Ltda'}, {'marca_comercial': ['Xtendimax 2'], 'numero_registro': '42425', 'titular_registro': 'Monsanto do Brasil Ltda'}]",http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=14641
TC06325,['Dicamba Técnico Monsanto II'],Monsanto do Brasil Ltda,['Herbicida'],['Dicamba (Ácido Benzóico) (970 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '970', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '97'}]","[{'descricao': 'Dicamba Técnico Monsanto II_Rótulo_15.04.2025', 'tipo_documento': 'Rótulo', 'data_inclusao': '15/04/2025 16:49:38', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=518626&p_nm_file=F400897494/Dicamba%20T%C3%A9cnico%20Monsanto%20II_R%C3%B3tulo_15.04.2025.pdf', 'origem': 'Rótulo e Certificado'}]","[{'marca_comercial': ['Roundup Xtend'], 'numero_registro': '33125', 'titular_registro': 'Monsanto do Brasil Ltda'}]",http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=15264
TC22422,['Dicamba Técnico NGC'],NGC Agrosciences Brasil Ltda,['Herbicida'],['Dicamba (Ácido Benzóico) (980 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '980', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '98'}]","[{'descricao': 'Rótulo Dicamba Tecnico NGC OUT25', 'tipo_documento': 'Rótulo', 'data_inclusao': '01/10/2025 15:49:53', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=534069&p_nm_file=F285529588/DICAMBA_TC_NGC_Rotulo_Agrofit_OUT25.pdf', 'origem': 'Rótulo e Certificado'}]",[],http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=20603
